category_id,parent_id,category_1,category_2,category_3,category_4,category_5,category_6
20081,20081,Antiques,,,,,
37903,20081,Antiques,Antiquities,,,,
37908,37903,Antiques,Antiquities,The Americas,,,
162922,37903,Antiques,Antiquities,Byzantine,,,
162923,37903,Antiques,Antiquities,Celtic,,,
37905,37903,Antiques,Antiquities,Egyptian,,,
162916,37903,Antiques,Antiquities,Far Eastern,,,
37906,37903,Antiques,Antiquities,Greek,,,
162917,37903,Antiques,Antiquities,Holy Land,,,
162918,37903,Antiques,Antiquities,Islamic,,,
91101,37903,Antiques,Antiquities,Near Eastern,,,
66834,37903,Antiques,Antiquities,Neolithic & Paleolithic,,,
37907,37903,Antiques,Antiquities,Roman,,,
162919,37903,Antiques,Antiquities,South Italian,,,
162920,37903,Antiques,Antiquities,Viking,,,
162921,37903,Antiques,Antiquities,Reproductions,,,
171169,37903,Antiques,Antiquities,Price Guides & Publications,,,
73464,37903,Antiques,Antiquities,Other,,,
4707,20081,Antiques,Architectural & Garden,,,,
162925,4707,Antiques,Architectural & Garden,Balusters,,,
162926,4707,Antiques,Architectural & Garden,Barn Doors,,,
162927,4707,Antiques,Architectural & Garden,Beams,,,
37909,4707,Antiques,Architectural & Garden,Ceiling Tins,,,
63516,4707,Antiques,Architectural & Garden,"Chandeliers, Fixtures, Sconces",,,
162928,4707,Antiques,Architectural & Garden,Columns & Posts,,,
162929,4707,Antiques,Architectural & Garden,Corbels,,,
37910,4707,Antiques,Architectural & Garden,Doors,,,
63517,4707,Antiques,Architectural & Garden,Finials,,,
63518,4707,Antiques,Architectural & Garden,Fireplaces & Mantels,,,
4708,4707,Antiques,Architectural & Garden,Garden,,,
37911,4707,Antiques,Architectural & Garden,Hardware,,,
37912,37911,Antiques,Architectural & Garden,Hardware,Door Bells & Knockers,,
37914,37911,Antiques,Architectural & Garden,Hardware,Door Knobs & Handles,,
37916,37911,Antiques,Architectural & Garden,Hardware,Door Plates & Backplates,,
162933,37911,Antiques,Architectural & Garden,Hardware,Drawer Pulls,,
162934,37911,Antiques,Architectural & Garden,Hardware,Escutcheons & Key Hole Covers,,
162935,37911,Antiques,Architectural & Garden,Hardware,Heating Grates & Vents,,
37913,37911,Antiques,Architectural & Garden,Hardware,Hooks & Brackets,,
37915,37911,Antiques,Architectural & Garden,Hardware,Locks & Keys,,
162930,37911,Antiques,Architectural & Garden,Hardware,Nails,,
162931,37911,Antiques,Architectural & Garden,Hardware,Screws,,
162932,37911,Antiques,Architectural & Garden,Hardware,Switch Plates & Outlet Covers,,
66637,37911,Antiques,Architectural & Garden,Hardware,Other,,
162936,4707,Antiques,Architectural & Garden,Pediments,,,
167948,4707,Antiques,Architectural & Garden,Plumbing,,,
63519,4707,Antiques,Architectural & Garden,Signs,,,
151721,4707,Antiques,Architectural & Garden,Stained Glass Windows,,,
151722,151721,Antiques,Architectural & Garden,Stained Glass Windows,Pre-1900,,
4771,151721,Antiques,Architectural & Garden,Stained Glass Windows,1900-1940,,
151723,151721,Antiques,Architectural & Garden,Stained Glass Windows,1940-Now,,
167947,151721,Antiques,Architectural & Garden,Stained Glass Windows,Unknown,,
112084,4707,Antiques,Architectural & Garden,Stair & Carpet Rods,,,
37917,4707,Antiques,Architectural & Garden,Tiles,,,
37918,4707,Antiques,Architectural & Garden,Weathervanes & Lightning Rods,,,
63520,4707,Antiques,Architectural & Garden,"Windows, Sashes & Locks",,,
162937,4707,Antiques,Architectural & Garden,Reproductions,,,
171170,4707,Antiques,Architectural & Garden,Price Guides & Publications,,,
1207,4707,Antiques,Architectural & Garden,Other,,,
20082,20081,Antiques,Asian Antiques,,,,
162938,20082,Antiques,Asian Antiques,Burma,,,
37919,20082,Antiques,Asian Antiques,China,,,
162939,37919,Antiques,Asian Antiques,China,Amulets,,
162940,37919,Antiques,Asian Antiques,China,Armor,,
37920,37919,Antiques,Asian Antiques,China,Baskets,,
162941,37919,Antiques,Asian Antiques,China,Bells,,
37921,37919,Antiques,Asian Antiques,China,Bowls,,
37922,37919,Antiques,Asian Antiques,China,Boxes,,
162966,37919,Antiques,Asian Antiques,China,Bracelets,,
162967,37919,Antiques,Asian Antiques,China,Brush Pots,,
162968,37919,Antiques,Asian Antiques,China,Brush Washers,,
37923,37919,Antiques,Asian Antiques,China,Cabinets,,
37924,37919,Antiques,Asian Antiques,China,Chairs,,
37925,37919,Antiques,Asian Antiques,China,Chests,,
162942,37919,Antiques,Asian Antiques,China,Fans,,
37926,37919,Antiques,Asian Antiques,China,Glasses & Cups,,
162943,37919,Antiques,Asian Antiques,China,Incense Burners,,
162944,37919,Antiques,Asian Antiques,China,Ink Stones,,
162945,37919,Antiques,Asian Antiques,China,Masks,,
37927,37919,Antiques,Asian Antiques,China,Necklaces & Pendants,,
38124,37919,Antiques,Asian Antiques,China,Paintings & Scrolls,,
37928,37919,Antiques,Asian Antiques,China,Plates,,
37929,37919,Antiques,Asian Antiques,China,Pots,,
162946,37919,Antiques,Asian Antiques,China,Rings,,
155352,37919,Antiques,Asian Antiques,China,Robes & Textiles,,
162947,37919,Antiques,Asian Antiques,China,Seals,,
37930,37919,Antiques,Asian Antiques,China,Snuff Bottles,,
60189,37919,Antiques,Asian Antiques,China,Statues,,
162948,60189,Antiques,Asian Antiques,China,Statues,Birds,
60190,60189,Antiques,Asian Antiques,China,Statues,Buddha,
162949,60189,Antiques,Asian Antiques,China,Statues,Dogs,
60191,60189,Antiques,Asian Antiques,China,Statues,Dragons,
60192,60189,Antiques,Asian Antiques,China,Statues,Elephants,
162950,60189,Antiques,Asian Antiques,China,Statues,Foo Dogs,
60193,60189,Antiques,Asian Antiques,China,Statues,Horses,
60194,60189,Antiques,Asian Antiques,China,Statues,Kwan-yin,
60195,60189,Antiques,Asian Antiques,China,Statues,"Men, Women & Children",
162951,60189,Antiques,Asian Antiques,China,Statues,Mice,
162952,60189,Antiques,Asian Antiques,China,Statues,Monkeys,
162953,60189,Antiques,Asian Antiques,China,Statues,Oxen,
162954,60189,Antiques,Asian Antiques,China,Statues,Phoenix,
162955,60189,Antiques,Asian Antiques,China,Statues,Pigs,
162956,60189,Antiques,Asian Antiques,China,Statues,Rabbits,
162957,60189,Antiques,Asian Antiques,China,Statues,Rats,
162958,60189,Antiques,Asian Antiques,China,Statues,Roosters,
162959,60189,Antiques,Asian Antiques,China,Statues,Sheep,
162960,60189,Antiques,Asian Antiques,China,Statues,Snakes,
162961,60189,Antiques,Asian Antiques,China,Statues,Tigers,
162962,60189,Antiques,Asian Antiques,China,Statues,Turtles,
37931,60189,Antiques,Asian Antiques,China,Statues,Other,
162963,37919,Antiques,Asian Antiques,China,Swords,,
37932,37919,Antiques,Asian Antiques,China,Tables,,
162964,37919,Antiques,Asian Antiques,China,Tea Caddies,,
162965,37919,Antiques,Asian Antiques,China,Teapots,,
37933,37919,Antiques,Asian Antiques,China,Vases,,
73465,37919,Antiques,Asian Antiques,China,Other,,
60209,20082,Antiques,Asian Antiques,India,,,
37934,20082,Antiques,Asian Antiques,Japan,,,
162969,37934,Antiques,Asian Antiques,Japan,Armor,,
162970,37934,Antiques,Asian Antiques,Japan,Bells,,
37935,37934,Antiques,Asian Antiques,Japan,Bowls,,
37936,37934,Antiques,Asian Antiques,Japan,Boxes,,
162971,37934,Antiques,Asian Antiques,Japan,Dolls,,
162972,37934,Antiques,Asian Antiques,Japan,Fans,,
37937,37934,Antiques,Asian Antiques,Japan,Glasses & Cups,,
162974,37934,Antiques,Asian Antiques,Japan,Katana,,
155353,37934,Antiques,Asian Antiques,Japan,Kimonos & Textiles,,
162975,37934,Antiques,Asian Antiques,Japan,Masks,,
37938,37934,Antiques,Asian Antiques,Japan,Netsuke,,
38125,37934,Antiques,Asian Antiques,Japan,Paintings & Scrolls,,
37939,37934,Antiques,Asian Antiques,Japan,Plates,,
38126,37934,Antiques,Asian Antiques,Japan,Prints,,
162973,37934,Antiques,Asian Antiques,Japan,Statues,,
66841,37934,Antiques,Asian Antiques,Japan,Swords,,
162976,37934,Antiques,Asian Antiques,Japan,Tea Caddies,,
162977,37934,Antiques,Asian Antiques,Japan,Teapots,,
162978,37934,Antiques,Asian Antiques,Japan,Tsuba,,
37940,37934,Antiques,Asian Antiques,Japan,Vases,,
73466,37934,Antiques,Asian Antiques,Japan,Other,,
162979,20082,Antiques,Asian Antiques,Korea,,,
116556,20082,Antiques,Asian Antiques,Middle East,,,
162989,20082,Antiques,Asian Antiques,Mongolia,,,
164808,20082,Antiques,Asian Antiques,Southeast Asia,,,
162980,164808,Antiques,Asian Antiques,Southeast Asia,Amulets,,
162981,164808,Antiques,Asian Antiques,Southeast Asia,Bells,,
162982,164808,Antiques,Asian Antiques,Southeast Asia,Bracelets,,
162983,164808,Antiques,Asian Antiques,Southeast Asia,Masks,,
162984,164808,Antiques,Asian Antiques,Southeast Asia,Necklaces & Pendants,,
162985,164808,Antiques,Asian Antiques,Southeast Asia,Paintings,,
162986,164808,Antiques,Asian Antiques,Southeast Asia,Statues,,
20085,164808,Antiques,Asian Antiques,Southeast Asia,Other,,
79947,20082,Antiques,Asian Antiques,Tibet,,,
162988,20082,Antiques,Asian Antiques,Unknown,,,
155354,20082,Antiques,Asian Antiques,Reproductions,,,
171171,20082,Antiques,Asian Antiques,Price Guides & Publications,,,
2194,20082,Antiques,Asian Antiques,Other,,,
2195,20081,Antiques,Books & Manuscripts,,,,
2196,2195,Antiques,Books & Manuscripts,American,,,
2198,2195,Antiques,Books & Manuscripts,Asian,,,
2200,2195,Antiques,Books & Manuscripts,English,,,
2201,2195,Antiques,Books & Manuscripts,European,,,
162924,2195,Antiques,Books & Manuscripts,Middle Eastern,,,
356,2195,Antiques,Books & Manuscripts,Other,,,
20086,20081,Antiques,Decorative Arts,,,,
63521,20086,Antiques,Decorative Arts,Ceramics & Porcelain,,,
63522,63521,Antiques,Decorative Arts,Ceramics & Porcelain,Bowls,,
63523,63521,Antiques,Decorative Arts,Ceramics & Porcelain,Boxes,,
162999,63521,Antiques,Decorative Arts,Ceramics & Porcelain,Butter Pats,,
163000,63521,Antiques,Decorative Arts,Ceramics & Porcelain,Candle Holders,,
163001,63521,Antiques,Decorative Arts,Ceramics & Porcelain,Candlesticks,,
163002,63521,Antiques,Decorative Arts,Ceramics & Porcelain,Chamber Pots,,
63524,63521,Antiques,Decorative Arts,Ceramics & Porcelain,Creamers & Sugar Bowls,,
163003,63521,Antiques,Decorative Arts,Ceramics & Porcelain,Crocks,,
63525,63521,Antiques,Decorative Arts,Ceramics & Porcelain,Cups & Saucers,,
63526,63521,Antiques,Decorative Arts,Ceramics & Porcelain,Figurines,,
63527,63521,Antiques,Decorative Arts,Ceramics & Porcelain,Jars,,
163004,63521,Antiques,Decorative Arts,Ceramics & Porcelain,Jugs,,
63529,63521,Antiques,Decorative Arts,Ceramics & Porcelain,Mugs & Tankards,,
63528,63521,Antiques,Decorative Arts,Ceramics & Porcelain,Pitchers,,
163006,63521,Antiques,Decorative Arts,Ceramics & Porcelain,Planters,,
63531,63521,Antiques,Decorative Arts,Ceramics & Porcelain,Plates & Chargers,,
63532,63521,Antiques,Decorative Arts,Ceramics & Porcelain,Platters & Trays,,
63533,63521,Antiques,Decorative Arts,Ceramics & Porcelain,Salt & Pepper Shakers,,
63534,63521,Antiques,Decorative Arts,Ceramics & Porcelain,Teapots & Tea Sets,,
63535,63521,Antiques,Decorative Arts,Ceramics & Porcelain,Tiles,,
63536,63521,Antiques,Decorative Arts,Ceramics & Porcelain,Tureens,,
163005,63521,Antiques,Decorative Arts,Ceramics & Porcelain,Urns,,
63530,63521,Antiques,Decorative Arts,Ceramics & Porcelain,Vases,,
2203,63521,Antiques,Decorative Arts,Ceramics & Porcelain,Other,,
63537,20086,Antiques,Decorative Arts,Clocks,,,
63538,20086,Antiques,Decorative Arts,Glass,,,
162990,63538,Antiques,Decorative Arts,Glass,Bottles,,
63539,63538,Antiques,Decorative Arts,Glass,Bowls,,
162991,63538,Antiques,Decorative Arts,Glass,Candle Holders,,
162992,63538,Antiques,Decorative Arts,Glass,Candlesticks,,
162993,63538,Antiques,Decorative Arts,Glass,Compotes,,
63541,63538,Antiques,Decorative Arts,Glass,Decanters,,
162995,63538,Antiques,Decorative Arts,Glass,Dishes,,
162996,63538,Antiques,Decorative Arts,Glass,Figurines,,
63540,63538,Antiques,Decorative Arts,Glass,Jars,,
162994,63538,Antiques,Decorative Arts,Glass,Jugs,,
63542,63538,Antiques,Decorative Arts,Glass,Perfume Bottles,,
63543,63538,Antiques,Decorative Arts,Glass,Pitchers,,
63544,63538,Antiques,Decorative Arts,Glass,Plates,,
162997,63538,Antiques,Decorative Arts,Glass,Salt & Pepper Shakers,,
63545,63538,Antiques,Decorative Arts,Glass,Stemware,,
63546,63538,Antiques,Decorative Arts,Glass,Vases,,
2205,63538,Antiques,Decorative Arts,Glass,Other,,
63547,20086,Antiques,Decorative Arts,Lamps,,,
1211,20086,Antiques,Decorative Arts,Metalware,,,
20089,20086,Antiques,Decorative Arts,Mirrors,,,
40024,20086,Antiques,Decorative Arts,Picture Frames,,,
1218,20086,Antiques,Decorative Arts,Toleware,,,
37941,20086,Antiques,Decorative Arts,Woodenware,,,
37942,37941,Antiques,Decorative Arts,Woodenware,Bowls,,
37943,37941,Antiques,Decorative Arts,Woodenware,Boxes,,
162998,37941,Antiques,Decorative Arts,Woodenware,Carved Figures,,
37944,37941,Antiques,Decorative Arts,Woodenware,Trays,,
1219,37941,Antiques,Decorative Arts,Woodenware,Other,,
171172,20086,Antiques,Decorative Arts,Price Guides & Publications,,,
73467,20086,Antiques,Decorative Arts,Other,,,
2207,20081,Antiques,Ethnographic,,,,
37945,2207,Antiques,Ethnographic,African,,,
163007,37945,Antiques,Ethnographic,African,Jewelry,,
37946,37945,Antiques,Ethnographic,African,Masks,,
37947,37945,Antiques,Ethnographic,African,Sculptures & Statues,,
4171,37945,Antiques,Ethnographic,African,Other,,
4170,2207,Antiques,Ethnographic,Latin American,,,
4173,2207,Antiques,Ethnographic,Native American,,,
4172,2207,Antiques,Ethnographic,Pacific Islands & Oceania,,,
171173,2207,Antiques,Ethnographic,Price Guides & Publications,,,
2204,2207,Antiques,Ethnographic,Other,,,
20091,20081,Antiques,Furniture,,,,
98436,20091,Antiques,Furniture,Armoires & Wardrobes,,,
98437,98436,Antiques,Furniture,Armoires & Wardrobes,Pre-1800,,
60275,98436,Antiques,Furniture,Armoires & Wardrobes,1800-1899,,
66858,98436,Antiques,Furniture,Armoires & Wardrobes,1900-1950,,
162894,98436,Antiques,Furniture,Armoires & Wardrobes,Post-1950,,
162895,98436,Antiques,Furniture,Armoires & Wardrobes,Unknown,,
63549,20091,Antiques,Furniture,Beds & Bedroom Sets,,,
63552,63549,Antiques,Furniture,Beds & Bedroom Sets,Pre-1800,,
63550,63549,Antiques,Furniture,Beds & Bedroom Sets,1800-1899,,
63551,63549,Antiques,Furniture,Beds & Bedroom Sets,1900-1950,,
156308,63549,Antiques,Furniture,Beds & Bedroom Sets,Post-1950,,
162887,63549,Antiques,Furniture,Beds & Bedroom Sets,Unknown,,
63553,20091,Antiques,Furniture,Benches & Stools,,,
63554,63553,Antiques,Furniture,Benches & Stools,Pre-1800,,
63555,63553,Antiques,Furniture,Benches & Stools,1800-1899,,
63556,63553,Antiques,Furniture,Benches & Stools,1900-1950,,
156953,63553,Antiques,Furniture,Benches & Stools,Post-1950,,
162888,63553,Antiques,Furniture,Benches & Stools,Unknown,,
63557,20091,Antiques,Furniture,Bookcases,,,
63558,63557,Antiques,Furniture,Bookcases,Pre-1800,,
63559,63557,Antiques,Furniture,Bookcases,1800-1899,,
63560,63557,Antiques,Furniture,Bookcases,1900-1950,,
156309,63557,Antiques,Furniture,Bookcases,Post-1950,,
162889,63557,Antiques,Furniture,Bookcases,Unknown,,
63561,20091,Antiques,Furniture,Cabinets & Cupboards,,,
63562,63561,Antiques,Furniture,Cabinets & Cupboards,Pre-1800,,
63563,63561,Antiques,Furniture,Cabinets & Cupboards,1800-1899,,
63564,63561,Antiques,Furniture,Cabinets & Cupboards,1900-1950,,
156310,63561,Antiques,Furniture,Cabinets & Cupboards,Post-1950,,
162892,63561,Antiques,Furniture,Cabinets & Cupboards,Unknown,,
63565,20091,Antiques,Furniture,Chairs,,,
63566,63565,Antiques,Furniture,Chairs,Pre-1800,,
63567,63565,Antiques,Furniture,Chairs,1800-1899,,
63568,63565,Antiques,Furniture,Chairs,1900-1950,,
156311,63565,Antiques,Furniture,Chairs,Post-1950,,
162893,63565,Antiques,Furniture,Chairs,Unknown,,
98430,20091,Antiques,Furniture,Chests & Trunks,,,
98431,98430,Antiques,Furniture,Chests & Trunks,Pre-1800,,
66842,98430,Antiques,Furniture,Chests & Trunks,1800-1899,,
66854,98430,Antiques,Furniture,Chests & Trunks,1900-1950,,
162890,98430,Antiques,Furniture,Chests & Trunks,Post-1950,,
162891,98430,Antiques,Furniture,Chests & Trunks,Unknown,,
63569,20091,Antiques,Furniture,Desks & Secretaries,,,
63570,63569,Antiques,Furniture,Desks & Secretaries,Pre-1800,,
63571,63569,Antiques,Furniture,Desks & Secretaries,1800-1899,,
63572,63569,Antiques,Furniture,Desks & Secretaries,1900-1950,,
156312,63569,Antiques,Furniture,Desks & Secretaries,Post-1950,,
162896,63569,Antiques,Furniture,Desks & Secretaries,Unknown,,
63573,20091,Antiques,Furniture,Dining Sets,,,
63574,63573,Antiques,Furniture,Dining Sets,Pre-1800,,
63575,63573,Antiques,Furniture,Dining Sets,1800-1899,,
63576,63573,Antiques,Furniture,Dining Sets,1900-1950,,
156313,63573,Antiques,Furniture,Dining Sets,Post-1950,,
162897,63573,Antiques,Furniture,Dining Sets,Unknown,,
63577,20091,Antiques,Furniture,Dressers & Vanities,,,
63578,63577,Antiques,Furniture,Dressers & Vanities,Pre-1800,,
63579,63577,Antiques,Furniture,Dressers & Vanities,1800-1899,,
63580,63577,Antiques,Furniture,Dressers & Vanities,1900-1950,,
156314,63577,Antiques,Furniture,Dressers & Vanities,Post-1950,,
162898,63577,Antiques,Furniture,Dressers & Vanities,Unknown,,
162899,20091,Antiques,Furniture,Hall Trees & Stands,,,
162900,162899,Antiques,Furniture,Hall Trees & Stands,Pre-1800,,
162901,162899,Antiques,Furniture,Hall Trees & Stands,1800-1899,,
162902,162899,Antiques,Furniture,Hall Trees & Stands,1900-1950,,
162903,162899,Antiques,Furniture,Hall Trees & Stands,Post-1950,,
162904,162899,Antiques,Furniture,Hall Trees & Stands,Unknown,,
162905,20091,Antiques,Furniture,Nightstands,,,
162906,162905,Antiques,Furniture,Nightstands,Pre-1800,,
162907,162905,Antiques,Furniture,Nightstands,1800-1899,,
162908,162905,Antiques,Furniture,Nightstands,1900-1950,,
162909,162905,Antiques,Furniture,Nightstands,Post-1950,,
162910,162905,Antiques,Furniture,Nightstands,Unknown,,
98444,20091,Antiques,Furniture,Sideboards & Buffets,,,
98445,98444,Antiques,Furniture,Sideboards & Buffets,Pre-1800,,
66848,98444,Antiques,Furniture,Sideboards & Buffets,1800-1899,,
66862,98444,Antiques,Furniture,Sideboards & Buffets,1900-1950,,
162914,98444,Antiques,Furniture,Sideboards & Buffets,Post-1950,,
162915,98444,Antiques,Furniture,Sideboards & Buffets,Unknown,,
63581,20091,Antiques,Furniture,Sofas & Chaises,,,
63582,63581,Antiques,Furniture,Sofas & Chaises,Pre-1800,,
63583,63581,Antiques,Furniture,Sofas & Chaises,1800-1899,,
63584,63581,Antiques,Furniture,Sofas & Chaises,1900-1950,,
156315,63581,Antiques,Furniture,Sofas & Chaises,Post-1950,,
162911,63581,Antiques,Furniture,Sofas & Chaises,Unknown,,
63585,20091,Antiques,Furniture,Tables,,,
63586,63585,Antiques,Furniture,Tables,Pre-1800,,
63587,63585,Antiques,Furniture,Tables,1800-1899,,
63588,63585,Antiques,Furniture,Tables,1900-1950,,
156316,63585,Antiques,Furniture,Tables,Post-1950,,
162912,63585,Antiques,Furniture,Tables,Unknown,,
162913,20091,Antiques,Furniture,Parts & Salvaged Pieces,,,
171166,20091,Antiques,Furniture,Price Guides & Publications,,,
63589,20091,Antiques,Furniture,Other,,,
163008,20081,Antiques,Home & Hearth,,,,
163009,163008,Antiques,Home & Hearth,Baby Carriages & Buggies,,,
163010,163008,Antiques,Home & Hearth,Baby Cradles,,,
163011,163008,Antiques,Home & Hearth,Bath Tubs,,,
163012,163008,Antiques,Home & Hearth,Clothing Wringers,,,
163013,163008,Antiques,Home & Hearth,Hearth Ware,,,
163014,163008,Antiques,Home & Hearth,Ice Boxes,,,
163015,163008,Antiques,Home & Hearth,Meat Grinders,,,
163016,163008,Antiques,Home & Hearth,Sinks,,,
163017,163008,Antiques,Home & Hearth,Stoves,,,
163018,163008,Antiques,Home & Hearth,Toasters,,,
151724,163008,Antiques,Home & Hearth,Trivets,,,
163057,163008,Antiques,Home & Hearth,Washing Machines,,,
163058,163008,Antiques,Home & Hearth,Other,,,
2218,20081,Antiques,Linens & Textiles (Pre-1930),,,,
166291,2218,Antiques,Linens & Textiles (Pre-1930),Bed & Bath Linens,,,
166292,166291,Antiques,Linens & Textiles (Pre-1930),Bed & Bath Linens,Bedspreads & Coverlets,,
166293,166291,Antiques,Linens & Textiles (Pre-1930),Bed & Bath Linens,Blankets,,
166294,166291,Antiques,Linens & Textiles (Pre-1930),Bed & Bath Linens,Pillowcases,,
166295,166291,Antiques,Linens & Textiles (Pre-1930),Bed & Bath Linens,Sheets,,
166296,166291,Antiques,Linens & Textiles (Pre-1930),Bed & Bath Linens,Towels,,
166297,166291,Antiques,Linens & Textiles (Pre-1930),Bed & Bath Linens,Other,,
20117,2218,Antiques,Linens & Textiles (Pre-1930),Embroidery,,,
38000,2218,Antiques,Linens & Textiles (Pre-1930),Fabric,,,
66639,38000,Antiques,Linens & Textiles (Pre-1930),Fabric,Chenille,,
38001,38000,Antiques,Linens & Textiles (Pre-1930),Fabric,Cotton,,
66640,38000,Antiques,Linens & Textiles (Pre-1930),Fabric,Damask,,
66641,38000,Antiques,Linens & Textiles (Pre-1930),Fabric,Linen,,
38002,38000,Antiques,Linens & Textiles (Pre-1930),Fabric,Silk,,
66642,38000,Antiques,Linens & Textiles (Pre-1930),Fabric,Velvet,,
38003,38000,Antiques,Linens & Textiles (Pre-1930),Fabric,Wool,,
73469,38000,Antiques,Linens & Textiles (Pre-1930),Fabric,Other,,
163107,2218,Antiques,Linens & Textiles (Pre-1930),Feed & Flour Sacks,,,
163108,2218,Antiques,Linens & Textiles (Pre-1930),Handkerchiefs,,,
39449,2218,Antiques,Linens & Textiles (Pre-1930),Kitchen & Table Linens,,,
39450,39449,Antiques,Linens & Textiles (Pre-1930),Kitchen & Table Linens,Napkins,,
163110,39449,Antiques,Linens & Textiles (Pre-1930),Kitchen & Table Linens,Placemats,,
39451,39449,Antiques,Linens & Textiles (Pre-1930),Kitchen & Table Linens,Runners,,
39453,39449,Antiques,Linens & Textiles (Pre-1930),Kitchen & Table Linens,Tablecloths,,
39454,39449,Antiques,Linens & Textiles (Pre-1930),Kitchen & Table Linens,Towels,,
2220,39449,Antiques,Linens & Textiles (Pre-1930),Kitchen & Table Linens,Other,,
39444,2218,Antiques,Linens & Textiles (Pre-1930),"Lace, Crochet & Doilies",,,
